timestamp,fsr_left,fsr_right,pitch,posture,severity,score,sitting
2026-05-22 23:00:32.508674,838,3053,-7.17,upright,Good,8,1
2026-05-22 23:00:33.490640,832,3059,-7.31,upright,Good,8,1
2026-05-22 23:00:34.499618,829,3019,-6.67,upright,Good,8,1
2026-05-22 23:00:35.487444,834,3120,-6.86,upright,Good,8,1
2026-05-22 23:00:36.500549,839,3123,-6.76,upright,Good,8,1
2026-05-22 23:00:42.007850,814,2694,-7.01,upright,Good,8,1
2026-05-22 23:00:42.998254,818,2939,-6.74,upright,Good,8,1
2026-05-22 23:00:44.007612,815,2870,-6.61,upright,Good,8,1
2026-05-22 23:00:45.006118,816,2834,-7.14,upright,Good,8,1
2026-05-22 23:00:46.004408,816,2825,-6.62,upright,Good,8,1
2026-05-22 23:00:47.009030,814,2789,-6.64,upright,Good,8,1
2026-05-22 23:00:48.016010,804,2745,-6.95,upright,Good,8,1
2026-05-22 23:00:49.017517,803,2707,-6.56,upright,Good,8,1
2026-05-22 23:00:50.024919,803,2695,-6.39,upright,Good,8,1
2026-05-22 23:00:51.024695,807,2754,-6.98,upright,Good,8,1
2026-05-22 23:00:52.018589,799,2695,-7.13,upright,Good,8,1
2026-05-22 23:00:53.023233,812,2759,-6.78,upright,Good,8,1
2026-05-22 23:01:21.026419,833,3055,-6.67,upright,Good,8,1
2026-05-22 23:01:22.037318,827,3023,-6.55,upright,Good,8,1
2026-05-22 23:01:23.031351,823,2960,-6.98,upright,Good,8,1
2026-05-22 23:01:24.043391,821,2880,-6.79,upright,Good,8,1
2026-05-22 23:01:25.040104,827,3011,-6.85,upright,Good,8,1
2026-05-22 23:01:26.047832,816,2871,-7.12,upright,Good,8,1
2026-05-22 23:01:27.048141,807,2800,-6.72,upright,Good,8,1
2026-05-22 23:01:28.043293,817,2975,-6.71,upright,Good,8,1
2026-05-22 23:01:29.052428,821,3008,-6.69,upright,Good,8,1
2026-05-22 23:01:30.050876,826,2987,-6.94,upright,Good,8,1
2026-05-22 23:01:31.049874,794,2696,-6.84,upright,Good,8,1
2026-05-22 23:01:32.054451,669,919,-6.89,upright,Good,8,1
2026-05-22 23:01:36.056944,831,2950,-6.97,upright,Good,8,1
2026-05-22 23:01:37.062820,823,2962,-6.92,upright,Good,8,1
2026-05-22 23:01:38.056622,816,2870,-6.79,upright,Good,8,1
2026-05-22 23:01:39.056318,816,2832,-6.58,upright,Good,8,1
2026-05-22 23:01:40.068625,814,2803,-6.53,upright,Good,8,1
2026-05-22 23:01:41.071126,819,2906,-7.0,upright,Good,8,1
2026-05-22 23:01:42.073770,822,2986,-37.47,recline,Severe,0,1
2026-05-22 23:01:43.077949,816,2881,-51.97,recline,Severe,0,1
2026-05-22 23:01:44.074637,819,2879,-52.65,recline,Severe,0,1
2026-05-22 23:01:45.078840,817,2881,-52.82,recline,Severe,0,1
2026-05-22 23:01:46.085250,817,2874,-51.23,recline,Severe,0,1
2026-05-22 23:01:47.093489,813,2855,-50.91,recline,Severe,0,1
2026-05-22 23:01:48.084775,816,2864,-42.71,recline,Severe,0,1
2026-05-22 23:01:49.089622,811,2815,-51.81,recline,Severe,0,1
2026-05-22 23:01:50.089744,815,2828,-47.67,recline,Severe,0,1
2026-05-22 23:01:51.094278,815,2801,-88.24,recline,Severe,0,1
2026-05-22 23:01:52.093423,815,2787,-81.85,recline,Severe,0,1
2026-05-22 23:01:53.107714,811,2811,-86.76,recline,Severe,0,1
2026-05-22 23:01:54.112891,811,2809,-80.44,recline,Severe,0,1
2026-05-22 23:01:55.112098,819,2928,-88.14,recline,Severe,0,1
2026-05-22 23:01:56.112179,816,2823,-53.82,recline,Severe,0,1
2026-05-22 23:01:57.118528,814,2806,-40.98,recline,Severe,0,1
2026-05-22 23:01:58.122721,815,2794,-35.34,recline,Severe,0,1
2026-05-22 23:01:59.121273,803,2785,-37.72,recline,Severe,0,1
2026-05-22 23:02:00.125276,807,2751,-37.06,recline,Severe,0,1
2026-05-22 23:02:01.133202,807,2752,-34.82,recline,Severe,0,1
2026-05-22 23:02:02.128362,809,2706,-6.5,upright,Good,8,1
2026-05-22 23:02:03.131491,813,2816,-8.51,slouch,Good,7,1
2026-05-22 23:02:04.135957,811,2821,-8.76,slouch,Good,7,1
2026-05-22 23:02:05.138894,816,2912,-8.58,slouch,Good,7,1
2026-05-22 23:02:06.146597,772,2240,-8.44,slouch,Good,7,1
timestamp,fsr_left,fsr_right,pitch,posture,severity,score,sitting,slouch_count
2026-05-22 23:49:38.352287,630,0,0.0,upright,Good,10,0,0
timestamp,fsr_left,fsr_right,pitch,posture,severity,score,sitting,slouch_count
2026-05-22 23:54:43.002282,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:43.307950,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:43.641242,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:43.957278,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:44.281999,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:44.596824,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:44.926677,628,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:45.235662,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:45.556307,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:45.895194,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:46.208047,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:46.514967,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:46.839993,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:47.160119,628,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:47.479664,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:47.807973,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:48.129130,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:48.458357,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:48.780545,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:49.096585,628,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:49.409768,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:49.732993,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:50.055022,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:50.375330,629,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:50.698355,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:51.023824,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:51.351654,628,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:51.652945,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:51.972966,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:52.313938,629,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:52.641638,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:52.944322,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:53.259977,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:53.583597,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:53.903794,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:54.221867,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:54.555385,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:54.878096,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:55.185359,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:55.524031,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:55.833398,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:56.151660,629,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:56.480326,628,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:56.792545,627,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:57.116753,629,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:57.435984,625,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:57.759976,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:58.077264,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:58.410348,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:58.716787,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:59.038603,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:59.371804,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:54:59.692095,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:55:00.003429,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:55:00.326316,629,0,0.0,upright,Good,10,0,0
2026-05-22 23:55:00.653748,626,0,0.0,upright,Good,10,0,0
2026-05-22 23:55:00.974756,624,0,0.0,upright,Good,10,0,0
2026-05-22 23:55:01.299281,624,0,0.0,upright,Good,10,0,0
